company,lens_id,pub_number,title,abstract,pub_type,status,assignee,jurisdiction,filing_date,filing_year,pub_date,pub_year,cpc_codes,tech_category,inventor_count,family_id,family_size,priority_date,grant_date,expiration_date,inventors,claims_count,cited_by_count
SpaceX,18437044,US12244399,TILTED EARTH-BASED ANTENNA SYSTEMS AND METHODS OF TILTING FOR COMMUNICATION WITH A SATELLITE SYSTEM,,grant,granted,Space Exploration Technologies Corp.,US,2024-02-08,2024,2025-03-04,2025,H04B7/18519|H04B7/18573|H04B7/18517|H04B7/18536|H04B7/18547|H04B7/18571,Satellite / Wireless Comms,4,,1,2024-02-08,2025-03-04,,Duncan E. Adams; David Milroy; Jonathan François Cornelis Herman; Jessica D. Johnson,0,0
SpaceX,18435899,US12374773,PAN/TILT ASSEMBLY FOR ANTENNA APPARATUS,,grant,granted,Space Exploration Technologies Corp.,US,2024-02-07,2024,2025-07-29,2025,H01Q1/125|F16M11/126|F16M11/18|H01Q3/08,Antenna Design,2,,1,2024-02-07,2025-07-29,,Erik N. Littleton; Duncan Edwin Adams,0,0
SpaceX,18537420,US12191941,DETERMINATION OF ELECTRONIC BEAM STEERING ANGLES,,grant,granted,Space Exploration Technologies Corp.,US,2023-12-12,2023,2025-01-07,2025,H04B7/043|H04B17/318|G01S3/56|H04B7/0617|H04B7/0634|H04B7/18513|H04B7/2041|H04W16/28,Satellite / Wireless Comms,1,,1,2023-12-12,2025-01-07,,Martin S. McCormick,0,0
SpaceX,29917641,USD1066310,ANTENNA APPARATUS,,grant,granted,Space Exploration Technologies Corp.,US,2023-11-21,2023,2025-03-11,2025,,Other,3,,1,2023-11-21,2025-03-11,,Anthony Sims; Tad A. Kilbury; J. Gabriel Rustia,0,0
SpaceX,18505622,US12183988,HALF DUPLEX MODE DIGITAL BEAMFORMING DEVICE,,grant,granted,Space Exploration Technologies Corp.,US,2023-11-09,2023,2024-12-31,2024,H01Q3/36|H04B3/52|H01Q3/267|H04B3/54|H04B7/0617,Antenna Design,8,,1,2023-11-09,2024-12-31,,Masoud Kahrizi; Alex Ahmad Mirzaei; Ali Sajjadi; Bagher Afshar; Babak Vakili-Amini; Alireza Mehrnia; Behzad Nourani; Bernd Pregardier,0,0
SpaceX,18499588,US12483284,INTEGRATED SIGNAL CHAIN FOR AN ANTENNA ASSEMBLY,,grant,granted,Space Exploration Technologies Corp.,US,2023-11-01,2023,2025-11-25,2025,H04B1/0458|H01P3/12|H04B1/036|H04B1/18|H04B7/18515,Satellite / Wireless Comms,2,,1,2023-11-01,2025-11-25,,Anders Jensen; Samuel T. Reineman,0,0
SpaceX,18382413,US12322865,ANTENNA MODULES FOR PHASED ARRAY ANTENNAS,,grant,granted,Space Exploration Technologies Corp.,US,2023-10-20,2023,2025-06-03,2025,H01Q9/0414|H01Q21/0025|H01Q1/24|H01Q1/523|H01Q3/26|H01Q3/40|H01Q9/0428|H01Q21/24,Antenna Design,8,,1,2023-10-20,2025-06-03,,Alireza Mahanfar; Souren Shamsinejad; Shaya Karimkashi Arani; Siamak Ebadi; Ersin Yetisir; Peter Sung Tri Hoang; Javier Rodriguez De Luis; Nil Apaydin,0,0
SpaceX,18486035,US12376138,SYSTEM AND METHOD OF PROVIDING AN ADAPTIVE MODULATION AND CODING SCHEME,,grant,granted,Space Exploration Technologies Corp.,US,2023-10-12,2023,2025-07-29,2025,H04B17/336|H04W72/54|H04B17/382|H04W72/21|H04B7/18543|H04L1/0003|H04L1/0009|H04L1/203,Satellite / Wireless Comms,7,,1,2023-10-12,2025-07-29,,Jayasuryan V. Iyer; Yashodhan Dandekar; Khasim Shaheed Shaik Mahammad; Ramakrishna Akella; Chen Chen; Phillip E. Barber; Peter J. Worters,0,0
SpaceX,18483988,US12537553,CHANNEL EXTRACTION DIGITAL BEAMFORMING,,grant,granted,Space Exploration Technologies Corp.,US,2023-10-10,2023,2026-01-27,2026,H04B1/16|H04B7/0897|H04B7/08|H04L7/0033,Satellite / Wireless Comms,9,,1,2023-10-10,2026-01-27,,Alireza Mehrnia; Masoud Kahrizi; Alex Ahmad Mirzaei; Bagher Afshar; Ali Sajjadi; Bernd Pregardier; Ka Shun Carson Pun; Omid Nasiby; Igor Elgorriaga,0,0
SpaceX,18378095,US12537574,CHANNEL AGGREGATION DIGITAL BEAMFORMING,,grant,granted,Space Exploration Technologies Corp.,US,2023-10-09,2023,2026-01-27,2026,H04B7/0617|H04B7/0837|H04W72/046,Satellite / Wireless Comms,5,,1,2023-10-09,2026-01-27,,Alireza Mehrnia; Masoud Kahrizi; Ka Shun Carson Pun; Omid Nasiby; Alex Ahmad Mirzaei,0,0
SpaceX,18375319,US12542605,SYSTEMS AND METHODS FOR MAPPING GEOGRAPHIC SUB-AREAS TO SATELLITE-BASED BASE STATION PLATFORMS IN A CELLULAR NETWORK,,grant,granted,Space Exploration Technologies Corp.,US,2023-09-29,2023,2026-02-03,2026,,Other,2,,1,2023-09-29,2026-02-03,,Brian Dunn; Owen Chiaventone,0,0
SpaceX,18242994,US12255406,SYSTEM AND METHOD FOR OVER-THE-AIR ANTENNA CALIBRATION,,grant,granted,Space Exploration Technologies Corp.,US,2023-09-06,2023,2025-03-18,2025,H01Q3/267|H04B17/11|H04B17/12|H01Q1/48|H01Q9/0414|H01Q9/045|H01Q21/065,Antenna Design,1,,1,2023-09-06,2025-03-18,,Ersin Yetisir,0,0
SpaceX,18240913,US12376143,SYSTEM AND METHOD OF PROVIDING A MEDIUM ACCESS CONTROL SCHEDULER,,grant,granted,Space Exploration Technologies Corp.,US,2023-08-31,2023,2025-07-29,2025,H04W72/543|H04W72/1268|H04W72/23|H04B7/1851|H04B7/1853|H04L1/0003|H04L1/0009,Satellite / Wireless Comms,7,,1,2023-08-31,2025-07-29,,Jayasuryan V. Iyer; Khasim Shaheed Shaik Mahammad; Yashodhan Dandekar; Ramakrishna Akella; Chen Chen; Phillip E. Barber; Peter J. Worters,0,0
SpaceX,18231564,US12375988,LOW LATENCY SCHEDULE-DRIVEN HANDOVERS,,grant,granted,Space Exploration Technologies Corp.,US,2023-08-08,2023,2025-07-29,2025,H04B7/18513|H04W36/06|H04W36/083|H04W36/085|H04B7/0695|H04B7/18519|H04B7/18541|H04B7/2041,Satellite / Wireless Comms,10,,1,2023-08-08,2025-07-29,,Chen Chen; Pavel Chikulaev; Sergii Ziuzin; David Sacks; Peter J. Worters; Darshan Purohit; Yashodhan Dandekar; Vladimir Skuratovich; Andrei Pushkin; Phillip E. Barber,0,0
SpaceX,18230493,US12218742,INITIAL NETWORK ENTRY TO A COMMUNICATIONS SYSTEM,,grant,granted,Space Exploration Technologies Corp.,US,2023-08-04,2023,2025-02-04,2025,H04B7/18513|H04W72/21|H04L1/0003|H04L5/0007|H04W74/004|H04W74/0833|H04W84/06,Satellite / Wireless Comms,7,,1,2023-08-04,2025-02-04,,Chen Chen; Darshan Purohit; Yashodhan Dandekar; Pavel Chikulaev; David Sacks; Peter J. Worters; Phillip E. Barber,0,0
SpaceX,18227476,US12231178,OVER-THE-AIR CALIBRATION OF ANTENNA SYSTEM,,grant,granted,Space Exploration Technologies Corp.,US,2023-07-28,2023,2025-02-18,2025,H04B17/11|H04B17/14|H04B17/12|H04B17/19|H04B17/21|H01Q3/2617|H01Q3/38|H01Q3/42,Satellite / Wireless Comms,9,,1,2023-07-28,2025-02-18,,David Francois Jacquet; Masoud Kahrizi; Robert Baummer JR.; Jean-Noel Rozec; Fabrice Jean André Belvèze; Paul Lee Pearson; Francois Lucien Emile Icher; Marc Gens; Pascal Triaire,0,0
SpaceX,18225477,US12191865,PHASE LOCK LOOP (PLL) SYNCHRONIZATION,,grant,granted,Space Exploration Technologies Corp.,US,2023-07-24,2023,2025-01-07,2025,H03L7/07|G06F1/10|H01Q3/42|H03L7/1976,Signal Processing,4,,1,2023-07-24,2025-01-07,,David Francois Jacquet; Mostafa Ghazali; Masoud Kahrizi; Andras Tantos,0,0
SpaceX,18223489,US12494304,SYSTEM AND METHOD FOR PROVIDING SIGNALING OVER A CONDUCTIVE MATERIAL IN A CABLE,,grant,granted,Space Exploration Technologies Corp.,US,2023-07-18,2023,2025-12-09,2025,H01B7/282|H01B11/06|H01B7/02|H01B7/29|H01B7/32|H04B3/54,Satellite / Wireless Comms,4,,1,2023-07-18,2025-12-09,,Anno van den Akker; Wilson Ives; David Elliott; Joshua S. Salazar,0,0
SpaceX,18216415,US12166282,ANTENNA MODULES IN PHASED ARRAY ANTENNAS,,grant,granted,Space Exploration Technologies Corp.,US,2023-06-29,2023,2024-12-10,2024,H01Q1/2283|H01Q21/0087|H01Q5/25|H01Q5/48|H01Q1/38|H01Q3/26|H01Q9/285|H01Q19/108,Antenna Design,5,,1,2023-06-29,2024-12-10,,Javier Rodriguez De Luis; Nil Apaydin; Ersin Yetisir; Alireza Mahanfar; Siamak Ebadi,0,0
SpaceX,18208754,US12184752,CHIP TO CHIP TIME SYNCHRONIZATION,,grant,granted,Space Exploration Technologies Corp.,US,2023-06-12,2023,2024-12-31,2024,G06F1/04|H04L7/0331|H01Q1/24|H01Q1/28|H01Q3/28|H01Q3/36|H01Q21/065,Computing / Software,3,,1,2023-06-12,2024-12-31,,Andras Tantos; David Francois Jacquet; Mario Toma,0,0
SpaceX,18205958,US12177060,DIGITAL PRE-DISTORTION COMPENSATION IN A WIRELESS COMMUNICATIONS SYSTEM,,grant,granted,Space Exploration Technologies Corp.,US,2023-06-05,2023,2024-12-24,2024,H04B1/04|H04L27/367|H03F1/3247|H03F1/3258|H03F1/3294|H03F3/19|H03F3/245|H03F3/68,Satellite / Wireless Comms,2,,1,2023-06-05,2024-12-24,,Martin S. McCormick; Feipeng Wang,0,0
SpaceX,29892770,USD1118255,TORCH DEVICE,,grant,granted,Space Exploration Technologies Corp.,US,2023-05-22,2023,2026-03-17,2026,,Other,1,,1,2023-05-22,2026-03-17,,Anthony Sims,0,0
SpaceX,18197597,US12136977,SYSTEMS AND METHODS FOR BEAMFORMING IN HYBRID BEAMFORMING ANTENNAS,,grant,granted,Space Exploration Technologies Corp.,US,2023-05-15,2023,2024-11-05,2024,H04B7/0617|H04B17/11|H04B17/12|H04B17/21|H01Q3/36|H01Q21/065|H04B7/0686,Satellite / Wireless Comms,5,,1,2023-05-15,2024-11-05,,Eric Pepin; Kim W. Schulze; Amir Agah; Dean A. De Carli; Philippe Riondet,0,0
SpaceX,29891628,USD1074649,ANTENNA APPARATUS,,grant,granted,Space Exploration Technologies Corp.,US,2023-05-08,2023,2025-05-13,2025,,Other,3,,1,2023-05-08,2025-05-13,,Anthony Sims; Tad A. Kilbury; J. Gabriel Rustia,0,0
SpaceX,29891289,USD1099084,ANTENNA APPARATUS,,grant,granted,Space Exploration Technologies Corp.,US,2023-05-03,2023,2025-10-21,2025,,Other,6,,1,2023-05-03,2025-10-21,,Anthony Sims; Charbel J. Elian; J. Gabriel Rustia; Heriberto Aguilera; John Blausen; Alberto Aguilera,0,0
SpaceX,29891287,USD1065161,ANTENNA APPARATUS,,grant,granted,Space Exploration Technologies Corp.,US,2023-05-03,2023,2025-03-04,2025,,Other,4,,1,2023-05-03,2025-03-04,,Anthony Sims; Hubbard D. Velie; Christine Oh; Charlie J. Nitschelm,0,0
SpaceX,29890313,USD1058547,NETWORKING DEVICE,,grant,granted,Space Exploration Technologies Corp.,US,2023-04-21,2023,2025-01-21,2025,,Other,4,,1,2023-04-21,2025-01-21,,Amanda Dunn; Christine Oh; Isiah G. Brenner; Krishna Mohan,0,0
SpaceX,18132108,US12348276,ANTENNA APPARATUS AND IN-LINE CALIBRATION SYSTEM FOR SAME,,grant,granted,Space Exploration Technologies Corp.,US,2023-04-07,2023,2025-07-01,2025,H04B17/12|H04B17/15|H04B17/14,Satellite / Wireless Comms,1,,1,2023-04-07,2025-07-01,,Ersin Yetisir,0,0
SpaceX,18123879,US11909506,TILTED EARTH-BASED ANTENNA SYSTEMS AND METHODS OF TILTING FOR COMMUNICATION WITH A SATELLITE SYSTEM,,grant,granted,Space Exploration Technologies Corp.,US,2023-03-20,2023,2024-02-20,2024,H04B7/18519|H04B7/18573|H04B7/18517|H04B7/18536|H04B7/18547|H04B7/18571,Satellite / Wireless Comms,4,,1,2023-03-20,2024-02-20,,Duncan E. Adams; David Milroy; Jonathan François Cornelis Herman; Jessica D. Johnson,0,0
SpaceX,18117853,US12142826,ANTENNA APPARATUS HAVING HEAT DISSIPATION FEATURES,,grant,granted,Space Exploration Technologies Corp.,US,2023-03-06,2023,2024-11-12,2024,H01Q1/428|H01Q1/02|H01Q1/1207|H01Q1/1228|H01Q1/2283|H01Q1/2291|H01Q1/38|H01Q1/42,Antenna Design,6,,1,2023-03-06,2024-11-12,,David Milroy; Duncan E. Adams; Andrea Papi; Scott Kaufman; Ersin Yetisir; Anthony Sims,0,0
SpaceX,18091748,US12273209,POWER DISTRIBUTION OVER ETHERNET CONNECTION,,grant,granted,Space Exploration Technologies Corp.,US,2022-12-30,2022,2025-04-08,2025,H04L12/10|H02H9/02|H02H9/021|H02H9/044|H02J3/02|H04L12/40045|Y02B70/30|Y04S20/20,Satellite / Wireless Comms,6,,1,2022-12-30,2025-04-08,,Joshua S. Salazar; Anno Van den Akker; Robert Ruark; Yong Ren; Bhaskar S. Vadathavoor; Krisztian Bakos,0,0
SpaceX,18091995,US12170409,CROSS-COUPLING MODELING AND COMPENSATION FOR ANTENNA APPARATUS,,grant,granted,Space Exploration Technologies Corp.,US,2022-12-30,2022,2024-12-17,2024,H01Q3/30|H01Q21/065|H01Q1/42|H01Q1/521|H01Q3/2682|H01Q3/38,Antenna Design,4,,1,2022-12-30,2024-12-17,,Eric Pepin; Kim W. Schulze; Ersin Yetisir; Javier Rodriguez De Luis,0,0
SpaceX,29861219,USD1012070,ANTENNA APPARATUS,,grant,granted,Space Exploration Technologies Corp.,US,2022-11-28,2022,2024-01-23,2024,,Other,4,,1,2022-11-28,2024-01-23,,David Milroy; Duncan Edwin Adams; Anthony Sims; J. Gabriel Rustia,0,0
SpaceX,17993606,US12148998,SIGNAL CONDITIONING MODULES IN PHASED ARRAY ANTENNAS,,grant,granted,Space Exploration Technologies Corp.,US,2022-11-23,2022,2024-11-19,2024,H01Q1/2283|H01Q21/08|H01Q1/38|H01Q1/526|H01Q3/26|H01Q3/28|H01Q3/40|H01Q21/061,Antenna Design,3,,1,2022-11-23,2024-11-19,,Trevor Cameron; Javier Rodriguez De Luis; Nil Apaydin,0,0
SpaceX,17983960,US12374772,USER TERMINAL HOUSING,,grant,granted,Space Exploration Technologies Corp.,US,2022-11-09,2022,2025-07-29,2025,F16B7/0413|H01Q1/1242|F16M11/28|H01Q1/42|H01Q1/422|H01Q3/04|H01Q3/08|H01Q3/34,Mechanical Engineering,3,,1,2022-11-09,2025-07-29,,Tad A. Kilbury; Jackson Shaffner; David Milroy,0,0
SpaceX,17983221,US12463333,RADOME ASSEMBLY COUPLING WITH ANTENNA ASSEMBLY,,grant,granted,Space Exploration Technologies Corp.,US,2022-11-08,2022,2025-11-04,2025,H01Q1/38|H01Q1/422|F16B5/0642|H01Q1/002|H01Q1/02|H01Q1/1221|H01Q1/125|H01Q1/24,Antenna Design,6,,1,2022-11-08,2025-11-04,,Charbel J. Elian; David Milroy; Benjamin Eric Alburtus; Jackson Shaffner; Edison S. Conner JR.; Tad A. Kilbury,0,0
SpaceX,17983245,US12334630,RADOME ASSEMBLY HAVING NODELESS CELLS,,grant,granted,Space Exploration Technologies Corp.,US,2022-11-08,2022,2025-06-17,2025,H01Q1/38|H01Q1/422|F16B5/0642|H01Q1/002|H01Q1/02|H01Q1/1221|H01Q1/125|H01Q1/24,Antenna Design,3,,1,2022-11-08,2025-06-17,,Charbel J. Elian; Benjamin Eric Alburtus; David Milroy,0,0
SpaceX,17974064,US11843168,ANTENNA APPARATUS HAVING ANTENNA SPACER,,grant,granted,Space Exploration Technologies Corp.,US,2022-10-26,2022,2023-12-12,2023,H01Q1/428|H01Q1/02|H01Q1/1207|H01Q1/1228|H01Q1/2283|H01Q1/2291|H01Q1/38|H01Q1/42,Antenna Design,3,,1,2022-10-26,2023-12-12,,David Milroy; Duncan E. Adams; Ersin Yetisir,0,0
SpaceX,17946978,US11784408,SYSTEM AND METHOD FOR OVER-THE-AIR ANTENNA CALIBRATION,,grant,granted,Space Exploration Technologies Corp.,US,2022-09-16,2022,2023-10-10,2023,H01Q3/267|H04B17/11|H04B17/12|H01Q1/48|H01Q9/0414|H01Q9/045|H01Q21/065,Antenna Design,1,,1,2022-09-16,2023-10-10,,Ersin Yetisir,0,0
SpaceX,17944041,US11817894,CHANNEL EXTRACTION DIGITAL BEAMFORMING,,grant,granted,Space Exploration Technologies Corp.,US,2022-09-13,2022,2023-11-14,2023,H04B1/16|H04B7/0897|H04B7/08|H04L7/0033,Satellite / Wireless Comms,9,,1,2022-09-13,2023-11-14,,Alireza Mehrnia; Masoud Kahrizi; Alex Ahmad Mirzaei; Bagher Afshar; Ali Sajjadi; Bernd Pregardier; Ka Shun Carson Pun; Omid Nasiby; Igor Elgorriaga,0,0
