company,lens_id,pub_number,title,abstract,pub_type,status,assignee,jurisdiction,filing_date,filing_year,pub_date,pub_year,cpc_codes,tech_category,inventor_count,family_id,family_size,priority_date,grant_date,expiration_date,inventors,claims_count,cited_by_count
Blue Origin,19037788,US12528602,SATELLITE DISPENSING SYSTEM,,grant,granted,"Blue Origin Manufacturing, LLC",US,2025-01-27,2025,2026-01-20,2026,B64G1/641|B64G1/643|B64G1/648,Spacecraft / Launch Systems,2,,1,2025-01-27,2026-01-20,,Eric Eckstein; Brian Allen Cyb,0,0
Blue Origin,18979450,,"WIRE-FEED FRICTION STIR ADDITIVE MANUFACTURING SYSTEMS, DEVICES, AND METHODS",,grant,granted,"Blue Origin Manufacturing, LLC",US,2024-12-12,2024,2024-12-12,2024,B23K20/1225|B23K20/1255|B33Y10/00|B33Y30/00|B33Y40/00|B23K20/1215|B23K20/122|B23K20/1245,Manufacturing,1,,1,2024-12-12,,,Weidong Song,0,0
Blue Origin,18952575,US12510018,INTEGRATED RECUPERATOR FOR A CLOSED BRAYTON CYCLE,,grant,granted,"Blue Origin Manufacturing, LLC",US,2024-11-19,2024,2025-12-30,2025,F02C1/06|F02C1/05|F02C1/10,Other,2,,1,2024-11-19,2025-12-30,,Emmanuel John Grillos II; Steven Stanley,0,0
Blue Origin,18949069,US12351344,NUCLEAR THERMAL PROPULSION SYSTEM WITH REACTOR DIRECT DRIVE OF CRYOCOOLER TURBINE,,grant,granted,"Blue Origin Manufacturing, LLC",US,2024-11-15,2024,2025-07-08,2025,B64G1/408|F02K9/44|F02K9/42|F02K9/425|F02K9/46|F02K9/50|F02K9/64|G21D5/02,Spacecraft / Launch Systems,1,,1,2024-11-15,2025-07-08,,Zachary Reid Tolley,0,0
Blue Origin,18947554,US12558739,FRICTION STIR ADDITIVE MANUFACTURING DEVICES AND METHODS FOR FORMING IN-SITU RIVETS,,grant,granted,"Blue Origin Manufacturing, LLC",US,2024-11-14,2024,2026-02-24,2026,B23K20/128|B23K20/1245,Manufacturing,1,,1,2024-11-14,2026-02-24,,Weidong Song,0,0
Blue Origin,18931964,US12385473,SEMI-PASSIVE LINEAR ACTUATOR,,grant,granted,Blue Origin LLC,US,2024-10-30,2024,2025-08-12,2025,F03G6/002|F03G6/098|B64G1/2229|B64G1/222,Spacecraft / Launch Systems,1,,1,2024-10-30,2025-08-12,,James Andrew Hinsdale,0,0
Blue Origin,18887817,US12486048,"HORIZONTAL INTEGRATION TOOLING FOR LAUNCH VEHICLES, AND ASSOCIATED SYSTEMS AND METHODS",,grant,granted,"Blue Origin Manufacturing, LLC",US,2024-09-17,2024,2025-12-02,2025,B64F5/10|B23P19/10|B23Q3/186|B64G1/002,Manufacturing,1,,1,2024-09-17,2025-12-02,,Derek Johnson,0,0
Blue Origin,18767813,US12515825,"DEVICE INCLUDING INTERCHANGEABLE PORT OPENING DOCKING MECHANISMS, AND ASSOCIATED SYSTEMS AND METHODS",,grant,granted,"BLUE ORIGIN MANUFACTURING, LLC",US,2024-07-09,2024,2026-01-06,2026,B64G1/6462|B64G1/60,Spacecraft / Launch Systems,1,,1,2024-07-09,2026-01-06,,Michael D. Johnson,0,0
Blue Origin,18731709,US12366218,LIQUID ROCKET ENGINE INJECTOR WITH VARIABLE FLOW AREA,,grant,granted,"Blue Origin Manufacturing, LLC",US,2024-06-03,2024,2025-07-22,2025,F02K9/52|F02K9/58|F02K9/42|F02K9/62|F02K9/805,Rocket Propulsion,2,,1,2024-06-03,2025-07-22,,Mark David Horn; Adam Keith Norman,0,0
Blue Origin,18669991,US12378009,HEAT FINS FOR HEAT DISSIPATION OF ROCKET COMPONENTS,,grant,granted,"Blue Origin Manufacturing, LLC",US,2024-05-21,2024,2025-08-05,2025,B64G1/58|B64G1/4021|F28F3/02,Spacecraft / Launch Systems,4,,1,2024-05-21,2025-08-05,,David Harper; Jeramy Kimball; Logan Sailer; Curtis Wen,0,0
Blue Origin,18664115,US12509249,"THRUSTING RAILS FOR LAUNCH VEHICLES, AND ASSOCIATED SYSTEMS AND METHODS",,grant,granted,"BLUE ORIGIN MANUFACTURING, LLC",US,2024-05-14,2024,2025-12-30,2025,B64G1/6455|B64G1/002,Spacecraft / Launch Systems,4,,1,2024-05-14,2025-12-30,,Scott D. Patty; Park O. Cover JR.; Mathew John Theis; Robert E. McMullen,0,0
Blue Origin,18632124,US12234042,NUCLEAR THERMAL PROPULSION SYSTEM WITH REACTOR DIRECT DRIVE OF CRYOCOOLER TURBINE,,grant,granted,"Blue Origin, LLC",US,2024-04-10,2024,2025-02-25,2025,B64G1/408|F02K9/44|F02K9/42|F02K9/425|F02K9/46|F02K9/50|F02K9/64|G21D5/02,Spacecraft / Launch Systems,1,,1,2024-04-10,2025-02-25,,Zachary Reid Tolley,0,0
Blue Origin,18625653,US12392059,SELF-ADAPTIVE FABRIC FOR SPACE APPLICATIONS,,grant,granted,"Blue Origin Manufacturing, LLC",US,2024-04-03,2024,2025-08-19,2025,D03D15/30|D01D5/247|D03D15/283|D03D15/56|D03D15/275|D03D15/567|B64G6/00|D03D1/02,Spacecraft / Launch Systems,1,,1,2024-04-03,2025-08-19,,Weidong Song,0,0
Blue Origin,18586005,US12415670,SYSTEMS AND METHODS FOR FLUID BARRIERS THROUGH PERMEABLE STRUCTURES,,grant,granted,"Blue Origin Manufacturing, LLC",US,2024-02-23,2024,2025-09-16,2025,B65D81/2076|B33Y80/00|B65D85/84|B65D81/20,Other,2,,1,2024-02-23,2025-09-16,,Eric D. Contreras; Satyanarayana Venkata Emani,0,0
