company,lens_id,pub_number,title,abstract,pub_type,status,assignee,jurisdiction,filing_date,filing_year,pub_date,pub_year,cpc_codes,tech_category,inventor_count,family_id,family_size,priority_date,grant_date,expiration_date,inventors,claims_count,cited_by_count
Maxar Technologies,18185185,US12472401,EXERCISE REHABILITATION SYSTEM USING SMART MIRROR,,grant,granted,"MDA Co., Ltd.",US,2023-03-16,2023,2025-11-18,2025,A61B5/486|A63B24/0075|A61B5/1116|A61B5/1123|A61B5/1124|A61B5/1176|A63B24/0062|A63B2024/0078,Other,2,,1,2023-03-16,2025-11-18,,Jin Wook CHOI; Kyoung Dong Kim,0,0
Maxar Technologies,17932222,US12020564,HASHING VEHICLE POSITION DATA IN REAL-TIME TO DETECT BEHAVIOR PATTERNS,,grant,granted,Maxar Technologies Holdings Inc.,US,2022-09-14,2022,2024-06-25,2024,G08G1/0125,Other,1,,1,2022-09-14,2024-06-25,,Adam Cook,0,0
Maxar Technologies,17932208,US12374215,HASHING VEHICLE POSITION DATA IN REAL-TIME TO DETECT BEHAVIOR PATTERNS,,grant,granted,Maxar Technologies Holdings Inc.,US,2022-09-14,2022,2025-07-29,2025,G08G1/0125|G08G1/22,Other,1,,1,2022-09-14,2025-07-29,,Adam Cook,0,0
Maxar Technologies,17069776,US11462007,SYSTEM FOR SIMPLIFIED GENERATION OF SYSTEMS FOR BROAD AREA GEOSPATIAL OBJECT DETECTION,,grant,granted,"DigitalGlobe, Inc.",US,2020-10-13,2020,2022-10-04,2022,G06N3/08|G06T7/10|G06T7/73|G06N20/20|G06V10/50|G06V20/176|G06V10/774|G06V10/776,Computing / Software,3,,1,2020-10-13,2022-10-04,,Adam Estrada; Kevin Green; Andrew Jenkins,0,0
Maxar Technologies,17037305,US11551439,SOME AUTOMATED AND SEMI-AUTOMATED TOOLS FOR LINEAR FEATURE EXTRACTION IN TWO AND THREE DIMENSIONS,,grant,granted,"DigitalGlobe, Inc.",US,2020-09-29,2020,2023-01-10,2023,G06V10/44|G06V10/469|G06V20/182|G06V20/13|G06V10/945|G06F18/40|G06T17/05,Computing / Software,3,,1,2020-09-29,2023-01-10,,Jacek Grodecki; Seth Malitz; Josh Nolting,0,0
Maxar Technologies,16804315,US11407530,SENSOR SHIFT FOR REMOTE SENSING,,grant,granted,"DIGITALGLOBE, INC.",US,2020-02-28,2020,2022-08-09,2022,B64G1/1021|H04N25/48|H04N25/41|B64G1/1028|B64G1/242|B64G1/361|G01C11/02|G01C11/06,Spacecraft / Launch Systems,1,,1,2020-02-28,2022-08-09,,VICTOR SOLANYK,0,0
Maxar Technologies,16709673,US11275939,MOVEMENT INTELLIGENCE USING SATELLITE IMAGERY,,grant,granted,"DigitalGlobe, Inc.",US,2019-12-10,2019,2022-03-15,2022,G06V20/182|G06F16/5866|G06F16/29|G06F16/56|G06V10/25|G06V20/54|G06V10/62|G06V40/20,Computing / Software,1,,1,2019-12-10,2022-03-15,,Ken Campbell,0,0
Maxar Technologies,16553060,US10733759,BROAD AREA GEOSPATIAL OBJECT DETECTION USING AUTOGENERATED DEEP LEARNING MODELS,,grant,granted,"DigitalGlobe, Inc.",US,2019-08-27,2019,2020-08-04,2020,G06T7/74|G06T7/344|G06T7/33|G06V10/454|G06V10/82|G06V10/764|G06V20/13|G06F18/24137,Computing / Software,4,,1,2019-08-27,2020-08-04,,Adam Estrada; Andrew Jenkins; Benjamin Brock; Chris Mangold,0,0
Maxar Technologies,16533386,US10803310,SYSTEM FOR SIMPLIFIED GENERATION OF SYSTEMS FOR BROAD AREA GEOSPATIAL OBJECT DETECTION,,grant,granted,"DigitalGlobe, Inc.",US,2019-08-06,2019,2020-10-13,2020,G06N3/08|G06T7/10|G06T7/73|G06N20/20|G06V10/50|G06V20/176|G06V10/774|G06V10/776,Computing / Software,3,,1,2019-08-06,2020-10-13,,Adam Estrada; Kevin Green; Andrew Jenkins,0,0
Maxar Technologies,16507012,US11294981,System and Method for Large Scale Crowdsourcing of Map Data Cleanup and Correction,,grant,granted,"DigitalGlobe, Inc.",US,2019-07-09,2019,2022-04-05,2022,G06F16/9537|G06F16/5866|G06F16/29|G06Q30/018|G06Q50/01,Computing / Software,3,,1,2019-07-09,2022-04-05,,Shay Har-Noy; Luke Barrington; Nathan Ricklin,0,0
Maxar Technologies,16438384,US10789469,SOME AUTOMATED AND SEMI-AUTOMATED TOOLS FOR LINEAR FEATURE EXTRACTION IN TWO AND THREE DIMENSIONS,,grant,granted,"DigitalGlobe, Inc.",US,2019-06-11,2019,2020-09-29,2020,G06V10/44|G06V10/469|G06V20/182|G06V20/13|G06V10/945|G06F18/40|G06T17/05,Computing / Software,3,,1,2019-06-11,2020-09-29,,Jacek Grodecki; Seth Malitz; Josh Nolting,0,0
Maxar Technologies,16293409,US11017593,AUTOMATED REGISTRATION OF THREE-DIMENSIONAL VECTORS TO THREE-DIMENSIONAL LINEAR FEATURES IN REMOTELY-SENSED DATA,,grant,granted,"DigitalGlobe, Inc.",US,2019-03-05,2019,2021-05-25,2021,G06T17/05|G01C11/04|G01C21/34|G06F3/04815,Computing / Software,2,,1,2019-03-05,2021-05-25,,Jacek Grodecki; Josh Nolting,0,0
Maxar Technologies,16224400,US10636169,SYNTHESIZING TRAINING DATA FOR BROAD AREA GEOSPATIAL OBJECT DETECTION,,grant,granted,"DIGITALGLOBE, INC.",US,2018-12-18,2018,2020-04-28,2020,G06V10/774|G06T7/73|G06T7/75|G06T7/90|G06V20/176|G06F18/24|G06F18/214|G06N3/045,Computing / Software,6,,1,2018-12-18,2020-04-28,,Adam Estrada; Christopher Burd; Andrew Jenkins; Joseph Newbrough; Scott Szoko; Melanie Vinton,0,0
Maxar Technologies,16182367,US10474895,SYSTEM AND METHODS FOR SEMI-AUTOMATED EDITING OF ORTHOMOSAICS BUILT FROM REMOTELY-SENSED IMAGERY,,grant,granted,"DigitalGlobe, Inc.",US,2018-11-06,2018,2019-11-12,2019,G01C21/3676|G06V20/182|G01C11/02|G01C21/3602|G01C21/3614|G06T3/4038|G06T17/05,Computing / Software,3,,1,2018-11-06,2019-11-12,,Matthew Tang; John Thiel; David Neckels,0,0
