company,lens_id,pub_number,title,abstract,pub_type,status,assignee,jurisdiction,filing_date,filing_year,pub_date,pub_year,cpc_codes,tech_category,inventor_count,family_id,family_size,priority_date,grant_date,expiration_date,inventors,claims_count,cited_by_count
Planet Labs,18771718,US12284024,Multi-Pathway Satellite Communication Systems and Methods,,grant,granted,Planet Labs PBC,US,2024-07-12,2024,2025-04-22,2025,H04B7/18513|H04B7/18515|H04B7/18521|H04B7/18584|H04B7/195,Satellite / Wireless Comms,1,,1,2024-07-12,2025-04-22,,Kiruthika Devaraj,0,0
Planet Labs,18533909,US12199737,Multi-Pathway Satellite Communication Systems and Methods,,grant,granted,Planet Labs PBC,US,2023-12-08,2023,2025-01-14,2025,H04B7/18513|H04B7/18515|H04B7/18521|H04B7/18584|H04B7/195,Satellite / Wireless Comms,1,,1,2023-12-08,2025-01-14,,Kiruthika Devaraj,0,0
Planet Labs,18155711,US12381621,Multi-Pathway Satellite Communication Systems and Methods,,grant,granted,Planet Labs PBC,US,2023-01-17,2023,2025-08-05,2025,H04B7/18584|G06T7/30|B64G1/244|H04N23/661|G06T2207/10032|H04B7/18528|H04B7/18558|H04L45/304,Satellite / Wireless Comms,2,,1,2023-01-17,2025-08-05,,Henrique Miranda; Kiruthika Devaraj,0,0
Planet Labs,17959000,US11881927,Multi-Pathway Satellite Communication Systems and Methods,,grant,granted,Planet Labs PBC,US,2022-10-03,2022,2024-01-23,2024,H04B7/18513|H04B7/18515|H04B7/18521|H04B7/18584|H04B7/195,Satellite / Wireless Comms,1,,1,2022-10-03,2024-01-23,,Kiruthika Devaraj,0,0
Planet Labs,17737554,US12010428,CONTROLLING A LINE OF SIGHT ANGLE OF AN IMAGING PLATFORM,,grant,granted,Planet Labs PBC,US,2022-05-05,2022,2024-06-11,2024,H04N23/687|G01C11/02|H04N23/6812|H04N23/685|H04N23/6811|G02B27/64,Satellite / Wireless Comms,6,,1,2022-05-05,2024-06-11,,M. Dirk Robinson; Jonathan Dyer; Joshua Levine; Brendan Hermalyn; Ronny Votel; Matt William Messana,0,0
Planet Labs,17227904,US11558112,Multi-Pathway Satellite Communication Systems and Methods,,grant,granted,Planet Labs PBC,US,2021-04-12,2021,2023-01-17,2023,H04B7/18584|G06T7/30|B64G1/244|H04N23/661|G06T2207/10032|H04B7/18528|H04B7/18558|H04L45/304,Satellite / Wireless Comms,2,,1,2021-04-12,2023-01-17,,Henrique Miranda; Kiruthika Devaraj,0,0
Planet Labs,17202134,US11388359,Systems and Methods for Implementing Time Delay Integration Imaging Techniques in Conjunction with Distinct Imaging Regions on a Monolithic Charge-Coupled Device Image Sensor,,grant,granted,Planet Labs PBC,US,2021-03-15,2021,2022-07-12,2022,H04N25/711|H10F39/8053|H04N25/134|H04N25/131|H04N25/135|H04N25/11|H04N25/75|H04N23/84,Satellite / Wireless Comms,2,,1,2021-03-15,2022-07-12,,Ignacio Zuleta; Adam Fritzler,0,0
Planet Labs,17036893,US11463158,MULTI-PATHWAY SATELLITE COMMUNICATION SYSTEMS AND METHODS,,grant,granted,Planet Labs PBC,US,2020-09-29,2020,2022-10-04,2022,H04B7/18513|H04B7/18515|H04B7/18521|H04B7/18584|H04B7/195,Satellite / Wireless Comms,1,,1,2020-09-29,2022-10-04,,Kiruthika Devaraj,0,0
Planet Labs,16933503,US11507905,Satellite Scheduling System,,grant,granted,Planet Labs PBC,US,2020-07-20,2020,2022-11-22,2022,G06Q10/06314|G06F16/22|B64G1/1028|B64G1/1021|B64G1/1078|B64G1/1085,Computing / Software,1,,1,2020-07-20,2022-11-22,,Sean Augenstein,0,0
Planet Labs,16889655,US11609324,Systems for Synthetic Aperture Radar Transmit and Receive Antennas,,grant,granted,Planet Labs Inc.,US,2020-06-01,2020,2023-03-21,2023,G01S13/9058|G01S7/025|G01S7/026|G01S7/03|G01S7/032|G01S13/10|G01S13/9011|G01S2013/0245,Remote Sensing / GPS,2,,1,2020-06-01,2023-03-21,,Kiruthika Devaraj; Ming-chun Paul Lee,0,0
Planet Labs,16841522,US10958859,SYSTEMS AND METHODS FOR IMPLEMENTING TIME DELAY INTEGRATION IMAGING TECHNIQUES IN CONJUNCTION WITH DISTINCT IMAGING REGIONS ON A MONOLITHIC CHARGE-COUPLED DEVICE IMAGE SENSOR,,grant,granted,Planet Labs Inc.,US,2020-04-06,2020,2021-03-23,2021,H04N25/711|H10F39/8053|H04N25/134|H04N25/131|H04N25/135|H04N25/11|H04N25/75|H04N23/84,Satellite / Wireless Comms,2,,1,2020-04-06,2021-03-23,,Ignacio Zuleta; Adam Fritzler,0,0
Planet Labs,16585516,US11330180,Controlling a Line of Sight Angle of an Imaging Platform,,grant,granted,"Planet Labs, Inc.",US,2019-09-27,2019,2022-05-10,2022,H04N23/687|H04N23/6812|H04N23/685|H04N23/6811|G01C11/02|G02B27/64,Satellite / Wireless Comms,6,,1,2019-09-27,2022-05-10,,M. Dirk Robinson; Jonathan Dyer; Joshua Levine; Brendan Hermalyn; Ronny Votel; Matt William Messana,0,0
Planet Labs,16529299,US10979137,Multi-Pathway Satellite Communication Systems and Methods,,grant,granted,"Planet Labs, Inc.",US,2019-08-01,2019,2021-04-13,2021,H04B7/18584|G06T7/30|B64G1/244|H04N23/661|G06T2207/10032|H04B7/18528|H04B7/18558|H04L45/304,Satellite / Wireless Comms,2,,1,2019-08-01,2021-04-13,,Henrique Miranda; Kiruthika Devaraj,0,0
