company,lens_id,pub_number,title,abstract,pub_type,status,assignee,jurisdiction,filing_date,filing_year,pub_date,pub_year,cpc_codes,tech_category,inventor_count,family_id,family_size,priority_date,grant_date,expiration_date,inventors,claims_count,cited_by_count
Rocket Lab,17819551,US12196159,ROCKET ENGINE INJECTOR,,grant,granted,"Rocket Lab USA, Inc.",US,2022-08-12,2022,2025-01-14,2025,,Other,3,,1,2022-08-12,2025-01-14,,Peter Joseph Beck; Lachlan Jesse Matchett; Peter William Edward Barlow,0,0
Rocket Lab,17818232,US12006894,JETTISONABLE BATTERY SYSTEMS FOR POWERING ELECTRICAL TURBOPUMPS FOR LAUNCH VEHICLE ROCKET ENGINE SYSTEMS,,grant,granted,"Rocket Lab USA, Inc.",US,2022-08-08,2022,2024-06-11,2024,H01M50/244|F02K9/46|H01M50/249|F02K9/563|F02K9/60|F02K99/00|H01M6/5044|H01M8/188,Rocket Propulsion,4,,1,2022-08-08,2024-06-11,,Peter Joseph Beck; Naomi Altman; Jarrod William Burton; Shaun Keith O'Donnell,0,0
Rocket Lab,17466723,US11814194,SATELLITE DEPLOYER WITH COMPOSITE GUIDE RAIL,,grant,granted,"Rocket Lab USA, Inc.",US,2021-09-03,2021,2023-11-14,2023,B64G1/22|F16C29/005|B64G1/6455|B64G1/6457|B64G1/2427|B26D5/12|B60P7/135|B60P7/16,Spacecraft / Launch Systems,4,,1,2021-09-03,2023-11-14,,Peter Beck; Peter Barlow; David Yoon; Ben Malcolm,0,0
Rocket Lab,17303893,US11408375,ROCKET ENGINE TURBOPUMP WITH COOLANT PASSAGE IN IMPELLER CENTRAL HUB,,grant,granted,"Rocket Lab USA, Inc.",US,2021-06-09,2021,2022-08-09,2022,B33Y80/00|F02K9/972|B33Y10/00|B23K26/282|B23K26/342|Y02P10/25|B23K2103/26|B23K2101/001,Rocket Propulsion,3,,1,2021-06-09,2022-08-09,,Peter Joseph Beck; Lachlan Jesse Matchett; Peter William Edward Barlow,0,0
Rocket Lab,17303894,US11415082,"TURBOPUMP, THRUST CHAMBER, AND INJECTOR WITH DISTRIBUTION SYSTEM AND A CIRCULAR ARRAY OF SUPPORT COLUMNS TO FLOW LIQUID FROM THE DISTRIBUTION SYSTEM INTO A COMBUSTION CHAMBER",,grant,granted,"Rocket Lab USA, Inc.",US,2021-06-09,2021,2022-08-16,2022,F02K9/972|B33Y10/00|B33Y80/00|B22F12/20|B22F10/47|B22F10/28|F02K9/46|F02K9/52,Rocket Propulsion,3,,1,2021-06-09,2022-08-16,,Peter Joseph Beck; Lachlan Jesse Matchett; Peter William Edward Barlow,0,0
Rocket Lab,17343614,US11794928,SATELLITE DEPLOYER WITH EXTERNALLY ADJUSTABLE PAYLOAD RESTRAINT,,grant,granted,"Rocket Lab USA, Inc.",US,2021-06-09,2021,2023-10-24,2023,B64G1/22|B64G1/6455|B64G1/6457|B64G1/2427|B26D5/12|B60P7/135|B60P7/16|E05D3/08,Spacecraft / Launch Systems,4,,1,2021-06-09,2023-10-24,,Peter Beck; Peter Barlow; David Yoon; Ben Malcolm,0,0
Rocket Lab,16946341,US11022073,ROCKET ENGINE TURBOPUMP WITH COOLANT PASSAGE IN IMPELLER CENTRAL HUB,,grant,granted,"Rocket Lab USA, Inc.",US,2020-06-17,2020,2021-06-01,2021,B33Y80/00|F02K9/972|B33Y10/00|B23K26/282|B23K26/342|Y02P10/25|B23K2103/26|B23K2101/001,Rocket Propulsion,3,,1,2020-06-17,2021-06-01,,Peter Joseph Beck; Lachlan Jesse Matchett; Peter William Edward Barlow,0,0
Rocket Lab,16833366,US11408374,JETTISONABLE BATTERY SYSTEMS FOR POWERING ELECTRICAL TURBOPUMPS FOR LAUNCH VEHICLE ROCKET ENGINE SYSTEMS,,grant,granted,"Rocket Lab USA, Inc.",US,2020-03-27,2020,2022-08-09,2022,F02K9/46|F02K9/563|F02K99/00|H01M6/5044|H01M8/188|H01M8/20|H01M2220/20,Rocket Propulsion,4,,1,2020-03-27,2022-08-09,,Peter Joseph Beck; Naomi Altman; Jarrod William Burton; Shaun Keith O'Donnell,0,0
Rocket Lab,16051268,US11148830,SATELLITE DEPLOYER WITH COMPOSITE GUIDE RAIL,,grant,granted,"Rocket Lab USA, Inc.",US,2018-07-31,2018,2021-10-19,2021,B64G1/22|F16C29/005|B64G1/6455|B64G1/6457|B64G1/2427|B26D5/12|B60P7/135|B60P7/16,Spacecraft / Launch Systems,4,,1,2018-07-31,2021-10-19,,Peter Beck; Peter Barlow; David Yoon; Ben Malcolm,0,0
Rocket Lab,16051271,US11059609,SATELLITE DEPLOYER WITH EXTERNALLY ADJUSTABLE PAYLOAD RESTRAINT,,grant,granted,"Rocket Lab USA, Inc.",US,2018-07-31,2018,2021-07-13,2021,B64G1/22|B64G1/6455|B64G1/6457|B64G1/2427|B26D5/12|B60P7/135|B60P7/16|E05D3/08,Spacecraft / Launch Systems,4,,1,2018-07-31,2021-07-13,,Peter Beck; Peter Barlow; David Yoon; Ben Malcolm,0,0
Rocket Lab,16051266,US10981679,SATELLITE DEPLOYER DOOR RELEASE MECHANISM,,grant,granted,"Rocket Lab USA, Inc.",US,2018-07-31,2018,2021-04-20,2021,B64G1/22|B64G1/6455|B64G1/6457|B64G1/2427|B26D5/12|B60P7/135|B60P7/16|E05D3/08,Spacecraft / Launch Systems,4,,1,2018-07-31,2021-04-20,,Peter Beck; Peter Barlow; David Yoon; Ben Malcolm,0,0
Rocket Lab,16051267,US11066192,SATELLITE DEPLOYER DOOR WITH CLUTCH BEARING,,grant,granted,"Rocket Lab USA, Inc.",US,2018-07-31,2018,2021-07-20,2021,B64G1/22|B64G1/6455|B64G1/6457|B64G1/2427|B26D5/12|B60P7/135|B60P7/16|E05D3/08,Spacecraft / Launch Systems,4,,1,2018-07-31,2021-07-20,,Peter Beck; Peter Barlow; David Yoon; Ben Malcolm,0,0
Rocket Lab,15192251,US11408373,JETTISONABLE BATTERY SYSTEMS FOR POWERING ELECTRICAL TURBOPUMPS FOR LAUNCH VEHICLE ROCKET ENGINE SYSTEMS,,grant,granted,"Rocket Lab USA, Inc.",US,2016-06-24,2016,2022-08-09,2022,H01M50/244|F02K9/46|H01M50/249|F02K9/563|F02K9/60|F02K99/00|H01M6/5044|H01M8/188,Rocket Propulsion,4,,1,2016-06-24,2022-08-09,,Peter Joseph Beck; Naomi Altman; Jarrod William Burton; Shaun Keith O'Donnell,0,0
Rocket Lab,15094809,US10527003,"ROCKET ENGINE THRUST CHAMBER, INJECTOR, AND TURBOPUMP",,grant,granted,"Rocket Lab USA, Inc.",US,2016-04-08,2016,2020-01-07,2020,F02K9/972|B33Y10/00|B33Y80/00|B22F12/20|B22F10/47|B22F10/28|F02K9/46|F02K9/52,Rocket Propulsion,3,,1,2016-04-08,2020-01-07,,Peter Joseph Beck; Lachlan Jesse Matchett; Peter William Edward Barlow,0,0
