company,lens_id,pub_number,title,abstract,pub_type,status,assignee,jurisdiction,filing_date,filing_year,pub_date,pub_year,cpc_codes,tech_category,inventor_count,family_id,family_size,priority_date,grant_date,expiration_date,inventors,claims_count,cited_by_count
Sierra Nevada / Sierra Space,18791570,US12559261,BRACKET FIXTURE FOR SPACE HABITAT,,grant,granted,Sierra Space Corporation,US,2024-08-01,2024,2026-02-24,2026,B64G1/60|B64G1/2227|B64G1/646|B64G99/00,Spacecraft / Launch Systems,3,,1,2024-08-01,2026-02-24,,Grant Robert Woods; Jeffrey S. Hickerson; Charles Ralph Sandy,0,0
Sierra Nevada / Sierra Space,18302501,US12121838,LOW-GRAVITY WATER CAPTURE DEVICE WITH WATER STABILIZATION,,grant,granted,Sierra Space Corporation,US,2023-04-18,2023,2024-10-22,2024,B01D45/16|B01D45/02|B04C3/06|B04C2003/006|E03B3/28,Other,4,,1,2023-04-18,2024-10-22,,Michael Peterson; Mark Milton Weislogel; John P. Wetzel; Daniel Aaron Wyman,0,0
Sierra Nevada / Sierra Space,18103460,US12071915,VORTEX HYBRID ROCKET MOTOR,,grant,granted,Sierra Space Corporation,US,2023-01-30,2023,2024-08-27,2024,F02K9/42|F02K9/72|C06B23/00|F02K9/10|F02K9/28|F02K9/62|F05D2250/322|F23B60/00,Rocket Propulsion,3,,1,2023-01-30,2024-08-27,,Martin Chiaverini; Patrick D. Satyshur; Christopher St. Clair,0,0
Sierra Nevada / Sierra Space,18094300,US11927152,REACTION CONTROL VORTEX THRUSTER SYSTEM,,grant,granted,Sierra Space Corporation,US,2023-01-06,2023,2024-03-12,2024,F02K9/28|F02K9/68|F02K9/42|F02K9/425|F02K9/44|F02K9/58|F02K9/72|F05D2240/127,Rocket Propulsion,6,,1,2023-01-06,2024-03-12,,Ryan C. Cavitt; Trevor P. Ormonde; Jake W. Carey; Patrick D. Satyshur; Christopher P. St. Clair; Scott M. Munson,0,0
Sierra Nevada / Sierra Space,17733769,US12104745,MOUNTING FLANGE AND BRACKET FOR A SPACE HABITAT,,grant,granted,Sierra Space Corporation,US,2022-04-29,2022,2024-10-01,2024,B64G99/00|F16M13/02|B64G1/2227|B64G1/60|B64G1/64|B64G1/646,Spacecraft / Launch Systems,5,,1,2022-04-29,2024-10-01,,Jeffrey S. Hickerson; Mariusz Erni Pecherzewski; Charles Ralph Sandy; Jeffrey Robert Valania; Grant Robert Woods,0,0
Sierra Nevada / Sierra Space,17719229,US11879414,HYBRID ROCKET OXIDIZER FLOW CONTROL SYSTEM INCLUDING REGRESSION RATE SENSORS,,grant,granted,Sierra Space Corporation,US,2022-04-12,2022,2024-01-23,2024,F02K9/72|F02K9/10|F02K9/26|F02K9/52|F02K9/56,Rocket Propulsion,3,,1,2022-04-12,2024-01-23,,Brian Richard Pomeroy; Martin Chiaverini; Jesse Morgan Warrick,0,0
Sierra Nevada / Sierra Space,17717989,US12054294,BRACKET FIXTURE FOR SPACE HABITAT,,grant,granted,Sierra Space Corporation,US,2022-04-11,2022,2024-08-06,2024,B64G1/60|B64G1/2227|B64G1/646,Spacecraft / Launch Systems,3,,1,2022-04-11,2024-08-06,,Grant Robert Woods; Jeffrey S. Hickerson; Charles Ralph Sandy,0,0
Sierra Nevada / Sierra Space,17703815,US11845530,COMPACT FOLDABLE MULTICOPTER UNMANNED AERIAL VEHICLE FOR CARGO DELIVERY,,grant,granted,Sierra Nevada Corporation,US,2022-03-24,2022,2023-12-19,2023,B64U30/293|B64U10/16|B64U2101/64,Other,2,,1,2022-03-24,2023-12-19,,Stephen Morris; Jean-Francois Clavreul,0,0
Sierra Nevada / Sierra Space,17703811,US11994876,IN-FLIGHT UAV DEPLOYMENT AND RETRIEVAL PLATFORM,,grant,granted,Sierra Nevada Corporation,US,2022-03-24,2022,2024-05-28,2024,G05D1/46|B64U70/20|B64U80/25|B64U10/14|B64U50/19|B64U50/11|B64U2101/30|B64U10/20,Other,3,,1,2022-03-24,2024-05-28,,Stephen Morris; Jean-Francois Clavreul; Hervé Hilaire,0,0
Sierra Nevada / Sierra Space,29823375,USD1007366,UNMANNED AIRCRAFT,,grant,granted,Sierra Nevada Corporation,US,2022-01-17,2022,2023-12-12,2023,,Other,2,,1,2022-01-17,2023-12-12,,Stephen Morris; Jean-Francois Clavreul,0,0
Sierra Nevada / Sierra Space,17453803,US11891172,Devices and Methods to Attach a Composite Core to a Surrounding Structure,,grant,granted,Sierra Nevada Corporation,US,2021-11-05,2021,2024-02-06,2024,B64C3/26|B32B3/12|B32B27/08|B32B2605/18|B64C3/185|B64C3/187|B64C3/20,Aeronautics / Structures,1,,1,2021-11-05,2024-02-06,,James Donn Hethcock JR.,0,0
